value,date
65,2010-12-26
47,2011-01-02
54,2011-01-09
50,2011-01-16
52,2011-01-23
61,2011-01-30
54,2011-02-06
60,2011-02-13
53,2011-02-20
57,2011-02-27
59,2011-03-06
50,2011-03-13
60,2011-03-20
58,2011-03-27
52,2011-04-03
58,2011-04-10
52,2011-04-17
54,2011-04-24
95,2011-05-01
72,2011-05-08
77,2011-05-15
73,2011-05-22
70,2011-05-29
78,2011-06-05
69,2011-06-12
74,2011-06-19
75,2011-06-26
76,2011-07-03
78,2011-07-10
62,2011-07-17
58,2011-07-24
67,2011-07-31
61,2011-08-07
68,2011-08-14
64,2011-08-21
75,2011-08-28
64,2011-09-04
65,2011-09-11
68,2011-09-18
75,2011-09-25
77,2011-10-02
74,2011-10-09
83,2011-10-16
79,2011-10-23
83,2011-10-30
67,2011-11-06
71,2011-11-13
84,2011-11-20
66,2011-11-27
73,2011-12-04
74,2011-12-11
84,2011-12-18
73,2011-12-25
72,2012-01-01
69,2012-01-08
73,2012-01-15
74,2012-01-22
81,2012-01-29
68,2012-02-05
82,2012-02-12
76,2012-02-19
79,2012-02-26
76,2012-03-04
67,2012-03-11
62,2012-03-18
83,2012-03-25
83,2012-04-01
75,2012-04-08
75,2012-04-15
72,2012-04-22
63,2012-04-29
74,2012-05-06
63,2012-05-13
70,2012-05-20
81,2012-05-27
61,2012-06-03
72,2012-06-10
75,2012-06-17
65,2012-06-24
71,2012-07-01
77,2012-07-08
67,2012-07-15
71,2012-07-22
76,2012-07-29
70,2012-08-05
70,2012-08-12
75,2012-08-19
81,2012-08-26
73,2012-09-02
72,2012-09-09
87,2012-09-16
86,2012-09-23
86,2012-09-30
83,2012-10-07
81,2012-10-14
82,2012-10-21
75,2012-10-28
87,2012-11-04
93,2012-11-11
77,2012-11-18
84,2012-11-25
84,2012-12-02
83,2012-12-09
93,2012-12-16
100,2012-12-23
92,2012-12-30
