value,date
69,2010-12-26
50,2011-01-02
57,2011-01-09
52,2011-01-16
54,2011-01-23
64,2011-01-30
57,2011-02-06
63,2011-02-13
56,2011-02-20
60,2011-02-27
62,2011-03-06
52,2011-03-13
64,2011-03-20
62,2011-03-27
55,2011-04-03
62,2011-04-10
54,2011-04-17
57,2011-04-24
100,2011-05-01
76,2011-05-08
81,2011-05-15
76,2011-05-22
74,2011-05-29
83,2011-06-05
73,2011-06-12
78,2011-06-19
79,2011-06-26
80,2011-07-03
82,2011-07-10
65,2011-07-17
61,2011-07-24
71,2011-07-31
64,2011-08-07
71,2011-08-14
68,2011-08-21
79,2011-08-28
68,2011-09-04
68,2011-09-11
72,2011-09-18
79,2011-09-25
81,2011-10-02
78,2011-10-09
87,2011-10-16
84,2011-10-23
88,2011-10-30
71,2011-11-06
75,2011-11-13
89,2011-11-20
70,2011-11-27
77,2011-12-04
78,2011-12-11
89,2011-12-18
77,2011-12-25
