country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Uzbekistan,UZ,nationwide,2016-08-31,,Political instability,,https://web.archive.org/web/20160905211817/http://www.nytimes.com/aponline/2016/09/02/world/asia/ap-as-uzbekistan-president.html,Access Now
Uzbekistan,UZ,"Nationwide, Entire country",2021-11-03,2022-08-01,Information control,"Facebook, Instagram, Telegram, Facebook, Instagram, LinkedIn, Moi Mir, Odnoklassniki, Telegram, and YouTube, Facebook, Twitter, Instagram, Telegram, WeChat, VKontakte, LinkedIn, Moi Mir, Odnoklassniki, and YouTube","https://www.rferl.org/a/uzbekistan-social-media-restrictions/31544451.html, https://www.rferl.org/a/uzbekistan-social-media-restrictions/31544451.html; https://explorer.ooni.org/chart/mat?probe_cc=UZ&test_name=web_connectivity&domain=twitter.com&since=2022-02-08&until=2023-02-08&axis_x=measurement_start_day; https://thediplomat.com/2022/08/uzbekistan-unblocks-twitter-tiktok-still-restricted/",Access Now
