country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Algeria,DZ,,2015-10-22,,Outage,"Sea-Me-We-4 submarine cable was cut, causing Internet disruptions",https://english.alarabiya.net/webtv/reports/2015/10/28/Algeria-deprived-of-internet-for-six-days,Other
Algeria,DZ,nationwide,2016-06-19,,Unknown,"Social media, 3G mobile internet",http://www.reuters.com/article/us-algeria-media-idUSKCN0Z50JX,Access Now
Algeria,DZ,Nationwide,2018-06-21,2018-06-25,Exam cheating,Facebook,https://www.aljazeera.com/news/2018/06/algeria-iraq-shut-internet-prevent-exam-cheating-180621074343644.html,Access Now
Algeria,DZ,National,2019-02-21,2019-02-21,Protests,Facebook,https://transparency.facebook.com/internet-disruptions,Access Now
Algeria,DZ,National,2019-06-15,2019-06-20,"Exam cheating, protests, exams","Facebook, Twitter, WhatsApp, Instagram,Tout Sur l’Algérie and Algérie Part websites, Facebook, Twitter, Instagram, Tumblr, Pinterest, LinkedIn, Tinder, Russian social networks VKontakte and Odnoklassniki as well as servers for messaging apps WhatsApp, Telegram, Skype, Viber and Line, Facebook, Twitter, WhatsApp, Instagram, Social media restrictions on Algeria Telecom","Facebook Transparency Report, https://cpj.org/2019/06/two-news-websites-inaccessible-in-algeria-amid-pro.php, https://netblocks.org/reports/facebook-twitter-instagram-whatsapp-and-other-social-media-blocked-in-algeria-eBOgJxBZ, https://www.middleeasteye.net/news/algeria-block-internet-access-during-school-exams, https://pulse.internetsociety.org/shutdowns/shutdown-132","Pulse, Access Now, NetBlocks"
Algeria,DZ,National,2019-08-08,2019-08-08,,"YouTube as well as Android mobile platform backends, Google Translate, Google Hangouts and Play Store",,NetBlocks
Algeria,DZ,National,2020-09-12,2020-09-17,Exam cheating,"Facebook, Twitter, WhatsApp, Instagram, Telegram, Social media and messaging services","https://smex.org/noexamshutdown-4-mena-countries-shut-down-the-internet-so-far-to-fight-cheating/#:~:text=On%20a%20daily%20basis%2C%20the,a%20half%20hours%20each%20day.&text=In%20Algeria%2C%20the%20high%20school,September%2013%20to%20September%2017.; https://netblocks.org/reports/social-media-restricted-and-internet-cut-during-algeria-school-exams-xAGolxAz;","Access Now, NetBlocks"
Algeria,DZ,Nationwide,2022-06-13,2022-06-13,Exam cheating,,https://blog.cloudflare.com/syria-sudan-algeria-exam-internet-shutdown/,Access Now
Algeria,DZ,National,2023-06-11,2023-06-15,exams,News Media,"https://pulse.internetsociety.org/shutdowns/algeria-begins-shutting-down-the-internet-during-exams, https://pulse.internetsociety.org/shutdowns/algeria-second-day-of-exam-shutdowns, https://pulse.internetsociety.org/shutdowns/algeria-third-day-of-exam-shutdowns, https://pulse.internetsociety.org/shutdowns/algeria-fourth-day-of-exam-shutdowns, https://pulse.internetsociety.org/shutdowns/no-internet-during-physics-exams-in-algeria",Pulse
