country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Venezuela,VE,National,2019-05-05,2019-05-06,"no_cause, Information Control","Twitter, Instagram, Periscope","https://pulse.internetsociety.org/shutdowns/shutdown-89, https://twitter.com/vesinfiltro/status/1125213527092998144?s=20","Pulse, Access Now"
Venezuela,VE,National,2019-05-07,2019-05-07,,"YouTube, Google apps, Android backend servers and Microsoft Bing",,NetBlocks
Venezuela,VE,National,2019-05-09,2019-05-09,,"YouTube, Google apps, Android backend servers and Microsoft Bing, YouTube, Google services, Twitter’s Periscope and Bing",,NetBlocks
Venezuela,VE,National,2019-05-11,2019-05-11,,"YouTube, Google services, Bing and Periscope",,NetBlocks
Venezuela,VE,National,2019-05-14,2019-05-16,"no_cause, Information Control","YouTube, Google services, Bing and Periscope, Instagram, Periscope","https://twitter.com/vesinfiltro/status/1128710360222130178, https://twitter.com/vesinfiltro/status/1128713605665390594, https://pulse.internetsociety.org/shutdowns/shutdown-97","Pulse, Access Now, NetBlocks"
Venezuela,VE,National,2019-05-18,2019-05-18,,"YouTube, several Google services, Android mobile backend servers and Microsoft Bing",,NetBlocks
Venezuela,VE,National,2019-05-21,2019-05-21,,"YouTube, Twitter’s video service Periscope, Google services and Bing",,NetBlocks
Venezuela,VE,National,2019-05-23,2019-05-24,,"YouTube, Periscope, several Google services, Android mobile backend servers and Microsoft Bing, YouTube, several Google services, Android mobile backend servers and Microsoft Bing",,NetBlocks
Venezuela,VE,National,2019-06-11,2019-06-11,,"YouTube, Periscope, Bing and Google services",,NetBlocks
Venezuela,VE,National,2019-06-15,2019-06-15,,"Instagram, YouTube, Periscope, Bing and Google services",,NetBlocks
Venezuela,VE,National,2019-06-17,2019-06-18,"government_action, Information Control","Twitter, Instagram, Twitter and Instagram, YouTube, several Google services, Android mobile backend servers and Microsoft Bing","https://netblocks.org/reports/twitter-and-instagram-restricted-in-venezuela-during-national-assembly-session-XB7wk1B7, https://twitter.com/vesinfiltro/status/1142067381004640256, https://pulse.internetsociety.org/shutdowns/shutdown-134","Pulse, Access Now, NetBlocks"
Venezuela,VE,National,2019-06-19,,,"YouTube, Google services, and Bing",,NetBlocks
Venezuela,VE,National,2019-11-16,2019-11-16,"no_cause, Protests","Facebook, Twitter, Instagram, Twitter, Facebook, Instagram, YouTube","https://pulse.internetsociety.org/shutdowns/shutdown-195, https://netblocks.org/reports/twitter-facebook-and-instagram-restricted-in-venezuela-on-day-of-planned-protests-98aMZv8o","Pulse, Access Now, NetBlocks"
Venezuela,VE,National,2020-01-05,2020-01-05,Other,"Facebook, Twitter, Instagram, Facebook Messenger, YouTube, Twitter, Instagram, YouTube, Facebook",https://www.elnacional.com/venezuela/cantv-bloquea-las-redes-sociales-para-censurar-sesion-de-la-asamblea-nacional/,"Access Now, NetBlocks"
Venezuela,VE,,2020-05-19,,Geo-restrictions,"DirecTV, which once held a significant share of the Venezuelan television market, ceased operations in the country due to U.S. sanctions. While not an Internet service, its abrupt shutdown disrupted access to entertainment and may have contributed to increased reliance on Internet-based alternatives, such as VPNs, to reach content no longer directly available domestically.","https://web.archive.org/web/20200526161434/https://about.att.com/story/2020/directv_latin_america_venezuela.html, https://apnews.com/general-news-ca162d46385bf5a6b9b10d84390ac599",Other
Venezuela,VE,National,2020-05-31,2020-05-31,Other,"Instagram, Youtube",https://twitter.com/vesinfiltro/status/1267136497880387584,Access Now
Venezuela,VE,,2020-08-21,,,Airtm,https://baynews9.com/fl/tampa/ap-top-news/2020/08/21/online-exchange-blocked-in-venezuela-ahead-of-health-bonuses,CenAlert
Venezuela,VE,,2024-07-21,,,"Media/CSO websites, Proton VPN","https://vesinfiltro.org/noticias/2024-07-22-tal-cual/, https://www.techradar.com/pro/vpn/vpn-access-at-risk-in-venezuela-ahead-of-elections-heres-how-to-get-around-it",CenAlert
