date,value
2011-01-01,0.0
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,1.272581777961851
2011-01-11,1.3507805288715378
2011-01-12,0.0
2011-01-13,1.5561551431027678
2011-01-14,0.0
2011-01-15,1.2569420277799135
2011-01-16,0.0
2011-01-17,1.1989103231574616
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,1.6512283613140186
2011-01-21,0.0
2011-01-22,1.396876634670932
2011-01-23,0.0
2011-01-24,1.3133274429095299
2011-01-25,1.0742038940751717
2011-01-26,1.39399562805847
2011-01-27,0.0
2011-01-28,1.0305772225150305
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,1.1149495590228506
2011-02-01,1.1499332107456053
2011-02-02,1.106306539185464
2011-02-03,0.0
2011-02-04,1.3281440483450495
2011-02-05,0.0
2011-02-06,0.0
2011-02-07,1.1618688095686627
2011-02-08,1.3034497059525167
2011-02-09,0.9676066494140723
2011-02-10,0.0
2011-02-11,0.0
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,1.0276962159025684
2011-02-15,0.0
2011-02-16,1.1165958485156862
2011-02-17,0.0
2011-02-18,1.1363513224297124
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,1.072969176955545
2011-02-22,1.1803895663630621
2011-02-23,1.0083523143617512
2011-02-24,1.1128916971568061
2011-02-25,1.4948308594946451
2011-02-26,0.0
2011-02-27,0.0
2011-02-28,0.0
2011-03-01,0.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,1.1779201321238089
2011-03-05,0.0
2011-03-06,0.0
2011-03-07,0.0
2011-03-08,0.0
2011-03-09,0.0
2011-03-10,1.100132953587331
2011-03-11,0.0
2011-03-12,0.0
2011-03-13,0.0
2011-03-14,0.0
2011-03-15,1.0713228874627094
2011-03-16,1.3688897132927285
2011-03-17,1.4335065758865224
2011-03-18,0.0
2011-03-19,0.0
2011-03-20,0.0
2011-03-21,1.488657273896512
2011-03-22,1.062679867625323
2011-03-23,1.2408907052247673
2011-03-24,1.1857400072147777
2011-03-25,0.9285072739592288
2011-03-26,0.0
2011-03-27,0.0
2011-03-28,1.3960534899245143
2011-03-29,0.0
2011-03-30,1.2371865538658873
2011-03-31,0.0
2011-04-01,0.0
2011-04-02,0.0
2011-04-03,0.0
2011-04-04,0.9639024980551923
2011-04-05,0.0
2011-04-06,1.0923130784963622
2011-04-07,0.0
2011-04-08,0.0
2011-04-09,0.0
2011-04-10,0.0
2011-04-11,0.0
2011-04-12,0.0
2011-04-13,1.3594235487089243
2011-04-14,1.2528263040478247
2011-04-15,1.1219462893674015
2011-04-16,0.0
2011-04-17,0.0
2011-04-18,1.070088170343083
2011-04-19,1.1293545920851613
2011-04-20,0.0
2011-04-21,0.0
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,0.0
