value,date
54,2014-08-01
49,2014-08-02
54,2014-08-03
57,2014-08-04
54,2014-08-05
48,2014-08-06
60,2014-08-07
56,2014-08-08
46,2014-08-09
48,2014-08-10
50,2014-08-11
57,2014-08-12
48,2014-08-13
55,2014-08-14
61,2014-08-15
57,2014-08-16
52,2014-08-17
61,2014-08-18
66,2014-08-19
59,2014-08-20
49,2014-08-21
51,2014-08-22
50,2014-08-23
56,2014-08-24
49,2014-08-25
61,2014-08-26
54,2014-08-27
52,2014-08-28
52,2014-08-29
60,2014-08-30
54,2014-08-31
54,2014-09-01
47,2014-09-02
44,2014-09-03
64,2014-09-04
52,2014-09-05
53,2014-09-06
64,2014-09-07
49,2014-09-08
52,2014-09-09
50,2014-09-10
68,2014-09-11
53,2014-09-12
63,2014-09-13
49,2014-09-14
64,2014-09-15
56,2014-09-16
60,2014-09-17
53,2014-09-18
59,2014-09-19
72,2014-09-20
60,2014-09-21
67,2014-09-22
50,2014-09-23
62,2014-09-24
58,2014-09-25
66,2014-09-26
72,2014-09-27
61,2014-09-28
49,2014-09-29
67,2014-09-30
51,2014-10-01
62,2014-10-02
59,2014-10-03
68,2014-10-04
63,2014-10-05
81,2014-10-06
57,2014-10-07
57,2014-10-08
72,2014-10-09
71,2014-10-10
72,2014-10-11
76,2014-10-12
63,2014-10-13
58,2014-10-14
73,2014-10-15
63,2014-10-16
61,2014-10-17
63,2014-10-18
67,2014-10-19
55,2014-10-20
61,2014-10-21
64,2014-10-22
53,2014-10-23
66,2014-10-24
77,2014-10-25
67,2014-10-26
57,2014-10-27
79,2014-10-28
56,2014-10-29
67,2014-10-30
60,2014-10-31
72,2014-11-01
61,2014-11-02
56,2014-11-03
68,2014-11-04
72,2014-11-05
76,2014-11-06
73,2014-11-07
66,2014-11-08
86,2014-11-09
64,2014-11-10
79,2014-11-11
66,2014-11-12
51,2014-11-13
65,2014-11-14
87,2014-11-15
76,2014-11-16
78,2014-11-17
79,2014-11-18
74,2014-11-19
74,2014-11-20
71,2014-11-21
74,2014-11-22
75,2014-11-23
74,2014-11-24
72,2014-11-25
74,2014-11-26
72,2014-11-27
71,2014-11-28
81,2014-11-29
71,2014-11-30
68,2014-12-01
68,2014-12-02
70,2014-12-03
69,2014-12-04
75,2014-12-05
79,2014-12-06
70,2014-12-07
69,2014-12-08
73,2014-12-09
68,2014-12-10
68,2014-12-11
79,2014-12-12
66,2014-12-13
66,2014-12-14
51,2014-12-15
73,2014-12-16
71,2014-12-17
65,2014-12-18
71,2014-12-19
84,2014-12-20
70,2014-12-21
73,2014-12-22
74,2014-12-23
77,2014-12-24
61,2014-12-25
71,2014-12-26
67,2014-12-27
85,2014-12-28
72,2014-12-29
76,2014-12-30
72,2014-12-31
72,2015-01-01
83,2015-01-02
63,2015-01-03
76,2015-01-04
69,2015-01-05
79,2015-01-06
65,2015-01-07
74,2015-01-08
62,2015-01-09
72,2015-01-10
67,2015-01-11
66,2015-01-12
68,2015-01-13
64,2015-01-14
63,2015-01-15
71,2015-01-16
81,2015-01-17
73,2015-01-18
64,2015-01-19
80,2015-01-20
70,2015-01-21
72,2015-01-22
76,2015-01-23
84,2015-01-24
67,2015-01-25
69,2015-01-26
66,2015-01-27
71,2015-01-28
99,2015-01-29
80,2015-01-30
79,2015-01-31
88,2015-02-01
70,2015-02-02
68,2015-02-03
70,2015-02-04
70,2015-02-05
63,2015-02-06
72,2015-02-07
65,2015-02-08
76,2015-02-09
69,2015-02-10
67,2015-02-11
67,2015-02-12
79,2015-02-13
79,2015-02-14
82,2015-02-15
77,2015-02-16
83,2015-02-17
82,2015-02-18
89,2015-02-19
81,2015-02-20
70,2015-02-21
80,2015-02-22
80,2015-02-23
74,2015-02-24
87,2015-02-25
74,2015-02-26
72,2015-02-27
100,2015-02-28
88,2015-03-01
72,2015-03-02
77,2015-03-03
76,2015-03-04
80,2015-03-05
78,2015-03-06
72,2015-03-07
79,2015-03-08
80,2015-03-09
72,2015-03-10
77,2015-03-11
82,2015-03-12
81,2015-03-13
82,2015-03-14
85,2015-03-15
75,2015-03-16
88,2015-03-17
83,2015-03-18
81,2015-03-19
81,2015-03-20
88,2015-03-21
83,2015-03-22
78,2015-03-23
83,2015-03-24
74,2015-03-25
72,2015-03-26
79,2015-03-27
86,2015-03-28
83,2015-03-29
79,2015-03-30
99,2015-03-31
