value,date
61,2010-12-26
42,2011-01-02
54,2011-01-09
48,2011-01-16
50,2011-01-23
60,2011-01-30
53,2011-02-06
59,2011-02-13
56,2011-02-20
57,2011-02-27
58,2011-03-06
55,2011-03-13
58,2011-03-20
59,2011-03-27
54,2011-04-03
58,2011-04-10
49,2011-04-17
57,2011-04-24
91,2011-05-01
73,2011-05-08
76,2011-05-15
72,2011-05-22
66,2011-05-29
76,2011-06-05
71,2011-06-12
73,2011-06-19
72,2011-06-26
78,2011-07-03
75,2011-07-10
60,2011-07-17
60,2011-07-24
65,2011-07-31
63,2011-08-07
66,2011-08-14
64,2011-08-21
67,2011-08-28
61,2011-09-04
69,2011-09-11
68,2011-09-18
75,2011-09-25
82,2011-10-02
72,2011-10-09
80,2011-10-16
79,2011-10-23
81,2011-10-30
66,2011-11-06
69,2011-11-13
85,2011-11-20
67,2011-11-27
78,2011-12-04
73,2011-12-11
82,2011-12-18
71,2011-12-25
69,2012-01-01
67,2012-01-08
70,2012-01-15
72,2012-01-22
78,2012-01-29
70,2012-02-05
83,2012-02-12
78,2012-02-19
79,2012-02-26
73,2012-03-04
66,2012-03-11
59,2012-03-18
81,2012-03-25
83,2012-04-01
73,2012-04-08
76,2012-04-15
69,2012-04-22
64,2012-04-29
74,2012-05-06
61,2012-05-13
72,2012-05-20
78,2012-05-27
60,2012-06-03
70,2012-06-10
74,2012-06-17
66,2012-06-24
66,2012-07-01
74,2012-07-08
72,2012-07-15
69,2012-07-22
70,2012-07-29
73,2012-08-05
68,2012-08-12
79,2012-08-19
80,2012-08-26
71,2012-09-02
69,2012-09-09
85,2012-09-16
84,2012-09-23
86,2012-09-30
80,2012-10-07
80,2012-10-14
79,2012-10-21
77,2012-10-28
85,2012-11-04
93,2012-11-11
76,2012-11-18
82,2012-11-25
81,2012-12-02
81,2012-12-09
93,2012-12-16
100,2012-12-23
92,2012-12-30
95,2013-01-06
83,2013-01-13
87,2013-01-20
95,2013-01-27
