"country","country_code","affected_regions","start_date","end_date","cause","affected_services","link","source"
"Sri Lanka","LK","National","2019-05-13","2019-05-17","government_action","Facebook, Twitter, WhatsApp, Instagram, YouTube, Viber, Snapchat, Facebook Messenger","https://pulse.internetsociety.org/shutdowns/shutdown-95","Pulse"
"Kazakhstan","KZ","National","2019-05-09","2019-05-19","government_action","Twitter, Instagram, Telegram, YouTube","https://pulse.internetsociety.org/shutdowns/shutdown-90","Pulse"
"Sri Lanka","LK","National","2019-05-05","2019-05-06","government_action","Facebook, WhatsApp, Instagram, YouTube, Viber, Snapchat, Facebook Messenger","https://pulse.internetsociety.org/shutdowns/shutdown-88","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-05-05","2019-05-05","no_cause","Twitter, Instagram, Periscope","https://pulse.internetsociety.org/shutdowns/shutdown-89","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-05-02","2019-05-03","no_cause","Facebook, Twitter, Instagram, Periscope","https://pulse.internetsociety.org/shutdowns/shutdown-85","Pulse"
"Benin","BJ","National","2019-05-01","2019-05-02","no_cause","Facebook, Twitter, WhatsApp, Instagram, Telegram, VPN services","https://pulse.internetsociety.org/shutdowns/shutdown-84","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-04-30","2019-04-30","no_cause","Facebook, Twitter","https://pulse.internetsociety.org/shutdowns/shutdown-83","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-04-27","2019-04-27","no_cause","Twitter, Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-81","Pulse"
"Benin","BJ","National","2019-04-27","2019-04-29","no_cause","Facebook, Twitter, WhatsApp, Instagram, Telegram, VPN services","https://pulse.internetsociety.org/shutdowns/shutdown-80","Pulse"
"Tajikistan","TJ","National","2019-04-23","2019-05-08",,"Facebook","https://pulse.internetsociety.org/shutdowns/shutdown-77","Pulse"
"India","IN","Kashmir Valley, Jammu and Kashmir","2019-04-22","2019-04-24","government_action","Facebook","https://pulse.internetsociety.org/shutdowns/shutdown-76","Pulse"
"Sri Lanka","LK","National","2019-04-21","2019-04-30","government_action","Facebook, Twitter, WhatsApp, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/shutdown-75","Pulse"
"Sudan (the)","SD","Khartoum","2019-04-07","2019-04-08","protests","Facebook, Twitter, WhatsApp, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/shutdown-66","Pulse"
"India","IN","Shopian, Jammu and Kashmir","2019-03-22","2019-03-24","government_action","Facebook","https://pulse.internetsociety.org/shutdowns/shutdown-55","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-03-04","2019-03-04","no_cause","Twitter","https://pulse.internetsociety.org/shutdowns/shutdown-44","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-02-28","2019-02-28","no_cause","Twitter","https://pulse.internetsociety.org/shutdowns/shutdown-40","Pulse"
"India","IN","Rajouri and Poonch, Jammu and Kashmir","2019-02-23","2019-02-23","protests","Facebook, WhatsApp","https://pulse.internetsociety.org/shutdowns/shutdown-39","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-01-26","2019-01-26","no_cause","Facebook, Twitter, Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-21","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-01-25","2019-01-25","no_cause",,"https://pulse.internetsociety.org/shutdowns/shutdown-19","Pulse"
"Venezuela (Bolivarian Republic of)","VE","National","2019-01-21","2019-01-21","no_cause","Twitter, Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-15","Pulse"
"Sudan (the)","SD","Sudan","2018-12-21","2019-02-26","protests","Facebook, Twitter, WhatsApp, Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-3","Pulse"
"Jordan","JO","Jordan","2018-12-20","2019-01-10","protests","Facebook","https://pulse.internetsociety.org/shutdowns/shutdown-2","Pulse"
"Chad","TD","National","2018-03-28","2019-07-13","government_action","Facebook, Twitter, WhatsApp, Instagram, Telegram, YouTube, Viber","https://pulse.internetsociety.org/shutdowns/shutdown-0","Pulse"
