value,date
89,2014-05-01
78,2014-05-02
89,2014-05-03
100,2014-05-04
73,2014-05-05
88,2014-05-06
87,2014-05-07
88,2014-05-08
88,2014-05-09
83,2014-05-10
88,2014-05-11
76,2014-05-12
79,2014-05-13
71,2014-05-14
66,2014-05-15
84,2014-05-16
83,2014-05-17
83,2014-05-18
87,2014-05-19
78,2014-05-20
68,2014-05-21
71,2014-05-22
68,2014-05-23
74,2014-05-24
81,2014-05-25
67,2014-05-26
60,2014-05-27
79,2014-05-28
64,2014-05-29
79,2014-05-30
81,2014-05-31
69,2014-06-01
61,2014-06-02
79,2014-06-03
46,2014-06-04
39,2014-06-05
49,2014-06-06
57,2014-06-07
54,2014-06-08
48,2014-06-09
36,2014-06-10
40,2014-06-11
45,2014-06-12
53,2014-06-13
63,2014-06-14
62,2014-06-15
46,2014-06-16
50,2014-06-17
56,2014-06-18
51,2014-06-19
55,2014-06-20
56,2014-06-21
43,2014-06-22
47,2014-06-23
52,2014-06-24
46,2014-06-25
49,2014-06-26
52,2014-06-27
39,2014-06-28
43,2014-06-29
41,2014-06-30
38,2014-07-01
43,2014-07-02
42,2014-07-03
37,2014-07-04
46,2014-07-05
55,2014-07-06
44,2014-07-07
44,2014-07-08
37,2014-07-09
38,2014-07-10
39,2014-07-11
49,2014-07-12
45,2014-07-13
50,2014-07-14
48,2014-07-15
45,2014-07-16
54,2014-07-17
49,2014-07-18
45,2014-07-19
48,2014-07-20
46,2014-07-21
46,2014-07-22
34,2014-07-23
48,2014-07-24
41,2014-07-25
49,2014-07-26
49,2014-07-27
55,2014-07-28
62,2014-07-29
54,2014-07-30
51,2014-07-31
47,2014-08-01
47,2014-08-02
47,2014-08-03
52,2014-08-04
45,2014-08-05
42,2014-08-06
54,2014-08-07
48,2014-08-08
40,2014-08-09
42,2014-08-10
48,2014-08-11
52,2014-08-12
41,2014-08-13
47,2014-08-14
51,2014-08-15
47,2014-08-16
45,2014-08-17
55,2014-08-18
52,2014-08-19
52,2014-08-20
40,2014-08-21
47,2014-08-22
42,2014-08-23
46,2014-08-24
41,2014-08-25
51,2014-08-26
47,2014-08-27
44,2014-08-28
46,2014-08-29
52,2014-08-30
48,2014-08-31
47,2014-09-01
41,2014-09-02
39,2014-09-03
56,2014-09-04
46,2014-09-05
45,2014-09-06
55,2014-09-07
47,2014-09-08
45,2014-09-09
45,2014-09-10
61,2014-09-11
45,2014-09-12
55,2014-09-13
47,2014-09-14
55,2014-09-15
46,2014-09-16
54,2014-09-17
47,2014-09-18
51,2014-09-19
64,2014-09-20
53,2014-09-21
59,2014-09-22
58,2014-09-23
54,2014-09-24
48,2014-09-25
57,2014-09-26
65,2014-09-27
54,2014-09-28
44,2014-09-29
59,2014-09-30
47,2014-10-01
54,2014-10-02
51,2014-10-03
62,2014-10-04
60,2014-10-05
67,2014-10-06
48,2014-10-07
45,2014-10-08
65,2014-10-09
58,2014-10-10
62,2014-10-11
66,2014-10-12
54,2014-10-13
52,2014-10-14
70,2014-10-15
51,2014-10-16
55,2014-10-17
56,2014-10-18
58,2014-10-19
48,2014-10-20
53,2014-10-21
57,2014-10-22
45,2014-10-23
57,2014-10-24
67,2014-10-25
56,2014-10-26
50,2014-10-27
72,2014-10-28
55,2014-10-29
60,2014-10-30
53,2014-10-31
62,2014-11-01
58,2014-11-02
49,2014-11-03
58,2014-11-04
64,2014-11-05
64,2014-11-06
58,2014-11-07
56,2014-11-08
76,2014-11-09
54,2014-11-10
70,2014-11-11
57,2014-11-12
50,2014-11-13
56,2014-11-14
75,2014-11-15
65,2014-11-16
66,2014-11-17
72,2014-11-18
64,2014-11-19
65,2014-11-20
63,2014-11-21
64,2014-11-22
66,2014-11-23
63,2014-11-24
65,2014-11-25
60,2014-11-26
64,2014-11-27
61,2014-11-28
74,2014-11-29
59,2014-11-30
60,2014-12-01
60,2014-12-02
61,2014-12-03
64,2014-12-04
63,2014-12-05
70,2014-12-06
61,2014-12-07
59,2014-12-08
64,2014-12-09
60,2014-12-10
60,2014-12-11
69,2014-12-12
58,2014-12-13
58,2014-12-14
47,2014-12-15
64,2014-12-16
65,2014-12-17
59,2014-12-18
59,2014-12-19
73,2014-12-20
64,2014-12-21
64,2014-12-22
66,2014-12-23
68,2014-12-24
53,2014-12-25
65,2014-12-26
61,2014-12-27
75,2014-12-28
64,2014-12-29
64,2014-12-30
60,2014-12-31
