value,date
2,2013-08-01
3,2013-08-02
2,2013-08-03
4,2013-08-04
2,2013-08-05
3,2013-08-06
3,2013-08-07
2,2013-08-08
4,2013-08-09
2,2013-08-10
3,2013-08-11
3,2013-08-12
3,2013-08-13
3,2013-08-14
3,2013-08-15
3,2013-08-16
4,2013-08-17
2,2013-08-18
3,2013-08-19
3,2013-08-20
3,2013-08-21
3,2013-08-22
2,2013-08-23
3,2013-08-24
3,2013-08-25
3,2013-08-26
2,2013-08-27
3,2013-08-28
3,2013-08-29
4,2013-08-30
3,2013-08-31
3,2013-09-01
2,2013-09-02
3,2013-09-03
2,2013-09-04
2,2013-09-05
2,2013-09-06
2,2013-09-07
2,2013-09-08
2,2013-09-09
3,2013-09-10
3,2013-09-11
3,2013-09-12
3,2013-09-13
2,2013-09-14
4,2013-09-15
3,2013-09-16
3,2013-09-17
3,2013-09-18
3,2013-09-19
2,2013-09-20
2,2013-09-21
3,2013-09-22
2,2013-09-23
3,2013-09-24
3,2013-09-25
3,2013-09-26
3,2013-09-27
2,2013-09-28
2,2013-09-29
3,2013-09-30
2,2013-10-01
3,2013-10-02
3,2013-10-03
3,2013-10-04
3,2013-10-05
3,2013-10-06
2,2013-10-07
3,2013-10-08
3,2013-10-09
3,2013-10-10
3,2013-10-11
2,2013-10-12
2,2013-10-13
3,2013-10-14
2,2013-10-15
3,2013-10-16
3,2013-10-17
2,2013-10-18
2,2013-10-19
3,2013-10-20
3,2013-10-21
3,2013-10-22
3,2013-10-23
4,2013-10-24
3,2013-10-25
3,2013-10-26
3,2013-10-27
3,2013-10-28
3,2013-10-29
3,2013-10-30
3,2013-10-31
3,2013-11-01
2,2013-11-02
3,2013-11-03
3,2013-11-04
2,2013-11-05
3,2013-11-06
2,2013-11-07
3,2013-11-08
2,2013-11-09
3,2013-11-10
3,2013-11-11
3,2013-11-12
3,2013-11-13
3,2013-11-14
4,2013-11-15
3,2013-11-16
3,2013-11-17
3,2013-11-18
3,2013-11-19
2,2013-11-20
2,2013-11-21
2,2013-11-22
2,2013-11-23
2,2013-11-24
2,2013-11-25
3,2013-11-26
3,2013-11-27
3,2013-11-28
3,2013-11-29
3,2013-11-30
3,2013-12-01
3,2013-12-02
4,2013-12-03
3,2013-12-04
3,2013-12-05
3,2013-12-06
2,2013-12-07
2,2013-12-08
2,2013-12-09
4,2013-12-10
3,2013-12-11
3,2013-12-12
4,2013-12-13
3,2013-12-14
3,2013-12-15
3,2013-12-16
3,2013-12-17
2,2013-12-18
4,2013-12-19
3,2013-12-20
3,2013-12-21
2,2013-12-22
2,2013-12-23
3,2013-12-24
3,2013-12-25
3,2013-12-26
3,2013-12-27
3,2013-12-28
3,2013-12-29
4,2013-12-30
3,2013-12-31
2,2014-01-01
3,2014-01-02
3,2014-01-03
2,2014-01-04
2,2014-01-05
3,2014-01-06
3,2014-01-07
4,2014-01-08
4,2014-01-09
5,2014-01-10
4,2014-01-11
4,2014-01-12
4,2014-01-13
3,2014-01-14
3,2014-01-15
3,2014-01-16
3,2014-01-17
3,2014-01-18
3,2014-01-19
3,2014-01-20
3,2014-01-21
2,2014-01-22
3,2014-01-23
4,2014-01-24
2,2014-01-25
3,2014-01-26
4,2014-01-27
4,2014-01-28
4,2014-01-29
5,2014-01-30
3,2014-01-31
4,2014-02-01
4,2014-02-02
4,2014-02-03
3,2014-02-04
3,2014-02-05
7,2014-02-06
8,2014-02-07
6,2014-02-08
6,2014-02-09
5,2014-02-10
5,2014-02-11
5,2014-02-12
4,2014-02-13
4,2014-02-14
3,2014-02-15
3,2014-02-16
4,2014-02-17
6,2014-02-18
7,2014-02-19
6,2014-02-20
5,2014-02-21
5,2014-02-22
5,2014-02-23
4,2014-02-24
4,2014-02-25
4,2014-02-26
5,2014-02-27
4,2014-02-28
4,2014-03-01
4,2014-03-02
3,2014-03-03
4,2014-03-04
5,2014-03-05
4,2014-03-06
4,2014-03-07
5,2014-03-08
4,2014-03-09
4,2014-03-10
5,2014-03-11
5,2014-03-12
4,2014-03-13
4,2014-03-14
4,2014-03-15
3,2014-03-16
4,2014-03-17
3,2014-03-18
4,2014-03-19
21,2014-03-20
100,2014-03-21
86,2014-03-22
72,2014-03-23
49,2014-03-24
33,2014-03-25
23,2014-03-26
48,2014-03-27
53,2014-03-28
70,2014-03-29
54,2014-03-30
36,2014-03-31
