value,date
67,2010-12-26
43,2011-01-02
52,2011-01-09
47,2011-01-16
50,2011-01-23
57,2011-01-30
52,2011-02-06
55,2011-02-13
53,2011-02-20
55,2011-02-27
56,2011-03-06
52,2011-03-13
53,2011-03-20
57,2011-03-27
49,2011-04-03
57,2011-04-10
50,2011-04-17
55,2011-04-24
90,2011-05-01
67,2011-05-08
68,2011-05-15
67,2011-05-22
65,2011-05-29
71,2011-06-05
63,2011-06-12
70,2011-06-19
72,2011-06-26
73,2011-07-03
72,2011-07-10
58,2011-07-17
56,2011-07-24
66,2011-07-31
61,2011-08-07
62,2011-08-14
62,2011-08-21
69,2011-08-28
61,2011-09-04
64,2011-09-11
65,2011-09-18
72,2011-09-25
75,2011-10-02
71,2011-10-09
78,2011-10-16
79,2011-10-23
77,2011-10-30
56,2011-11-06
63,2011-11-13
80,2011-11-20
64,2011-11-27
70,2011-12-04
71,2011-12-11
80,2011-12-18
66,2011-12-25
68,2012-01-01
64,2012-01-08
66,2012-01-15
67,2012-01-22
77,2012-01-29
65,2012-02-05
78,2012-02-12
73,2012-02-19
76,2012-02-26
69,2012-03-04
62,2012-03-11
58,2012-03-18
78,2012-03-25
78,2012-04-01
72,2012-04-08
72,2012-04-15
67,2012-04-22
59,2012-04-29
71,2012-05-06
60,2012-05-13
68,2012-05-20
75,2012-05-27
59,2012-06-03
64,2012-06-10
71,2012-06-17
62,2012-06-24
67,2012-07-01
72,2012-07-08
66,2012-07-15
64,2012-07-22
70,2012-07-29
67,2012-08-05
66,2012-08-12
71,2012-08-19
76,2012-08-26
71,2012-09-02
67,2012-09-09
82,2012-09-16
81,2012-09-23
80,2012-09-30
78,2012-10-07
75,2012-10-14
74,2012-10-21
72,2012-10-28
80,2012-11-04
84,2012-11-11
73,2012-11-18
79,2012-11-25
79,2012-12-02
76,2012-12-09
89,2012-12-16
94,2012-12-23
87,2012-12-30
91,2013-01-06
79,2013-01-13
84,2013-01-20
88,2013-01-27
95,2013-02-03
95,2013-02-10
100,2013-02-17
88,2013-02-24
