value,date
60,2017-08-01
61,2017-08-02
61,2017-08-03
60,2017-08-04
61,2017-08-05
70,2017-08-06
51,2017-08-07
52,2017-08-08
52,2017-08-09
53,2017-08-10
50,2017-08-11
64,2017-08-12
55,2017-08-13
59,2017-08-14
51,2017-08-15
56,2017-08-16
53,2017-08-17
54,2017-08-18
72,2017-08-19
65,2017-08-20
62,2017-08-21
54,2017-08-22
54,2017-08-23
49,2017-08-24
59,2017-08-25
63,2017-08-26
62,2017-08-27
56,2017-08-28
53,2017-08-29
52,2017-08-30
48,2017-08-31
53,2017-09-01
60,2017-09-02
62,2017-09-03
65,2017-09-04
51,2017-09-05
59,2017-09-06
50,2017-09-07
55,2017-09-08
60,2017-09-09
54,2017-09-10
50,2017-09-11
60,2017-09-12
55,2017-09-13
63,2017-09-14
60,2017-09-15
70,2017-09-16
63,2017-09-17
69,2017-09-18
68,2017-09-19
74,2017-09-20
74,2017-09-21
65,2017-09-22
62,2017-09-23
69,2017-09-24
56,2017-09-25
58,2017-09-26
70,2017-09-27
68,2017-09-28
65,2017-09-29
60,2017-09-30
66,2017-10-01
61,2017-10-02
69,2017-10-03
64,2017-10-04
64,2017-10-05
66,2017-10-06
66,2017-10-07
65,2017-10-08
59,2017-10-09
61,2017-10-10
57,2017-10-11
63,2017-10-12
64,2017-10-13
61,2017-10-14
61,2017-10-15
51,2017-10-16
52,2017-10-17
62,2017-10-18
52,2017-10-19
62,2017-10-20
60,2017-10-21
59,2017-10-22
55,2017-10-23
55,2017-10-24
53,2017-10-25
57,2017-10-26
61,2017-10-27
54,2017-10-28
52,2017-10-29
52,2017-10-30
56,2017-10-31
54,2017-11-01
59,2017-11-02
61,2017-11-03
60,2017-11-04
60,2017-11-05
49,2017-11-06
56,2017-11-07
52,2017-11-08
59,2017-11-09
65,2017-11-10
65,2017-11-11
62,2017-11-12
57,2017-11-13
57,2017-11-14
57,2017-11-15
57,2017-11-16
62,2017-11-17
65,2017-11-18
64,2017-11-19
56,2017-11-20
53,2017-11-21
57,2017-11-22
58,2017-11-23
59,2017-11-24
60,2017-11-25
57,2017-11-26
58,2017-11-27
56,2017-11-28
59,2017-11-29
73,2017-11-30
82,2017-12-01
89,2017-12-02
79,2017-12-03
73,2017-12-04
75,2017-12-05
75,2017-12-06
88,2017-12-07
78,2017-12-08
75,2017-12-09
60,2017-12-10
73,2017-12-11
94,2017-12-12
74,2017-12-13
74,2017-12-14
75,2017-12-15
76,2017-12-16
61,2017-12-17
66,2017-12-18
67,2017-12-19
66,2017-12-20
65,2017-12-21
72,2017-12-22
76,2017-12-23
73,2017-12-24
63,2017-12-25
71,2017-12-26
70,2017-12-27
66,2017-12-28
72,2017-12-29
71,2017-12-30
57,2017-12-31
72,2018-01-01
75,2018-01-02
73,2018-01-03
74,2018-01-04
73,2018-01-05
70,2018-01-06
81,2018-01-07
69,2018-01-08
73,2018-01-09
66,2018-01-10
82,2018-01-11
81,2018-01-12
82,2018-01-13
73,2018-01-14
73,2018-01-15
72,2018-01-16
83,2018-01-17
62,2018-01-18
76,2018-01-19
77,2018-01-20
77,2018-01-21
60,2018-01-22
74,2018-01-23
72,2018-01-24
77,2018-01-25
69,2018-01-26
76,2018-01-27
68,2018-01-28
72,2018-01-29
65,2018-01-30
61,2018-01-31
61,2018-02-01
68,2018-02-02
71,2018-02-03
62,2018-02-04
72,2018-02-05
76,2018-02-06
92,2018-02-07
79,2018-02-08
62,2018-02-09
73,2018-02-10
70,2018-02-11
66,2018-02-12
70,2018-02-13
62,2018-02-14
59,2018-02-15
67,2018-02-16
69,2018-02-17
72,2018-02-18
69,2018-02-19
57,2018-02-20
66,2018-02-21
61,2018-02-22
73,2018-02-23
73,2018-02-24
77,2018-02-25
69,2018-02-26
68,2018-02-27
69,2018-02-28
72,2018-03-01
73,2018-03-02
73,2018-03-03
60,2018-03-04
65,2018-03-05
70,2018-03-06
63,2018-03-07
68,2018-03-08
79,2018-03-09
85,2018-03-10
79,2018-03-11
80,2018-03-12
79,2018-03-13
70,2018-03-14
70,2018-03-15
82,2018-03-16
93,2018-03-17
76,2018-03-18
69,2018-03-19
66,2018-03-20
70,2018-03-21
86,2018-03-22
84,2018-03-23
100,2018-03-24
84,2018-03-25
82,2018-03-26
70,2018-03-27
69,2018-03-28
74,2018-03-29
77,2018-03-30
71,2018-03-31
